name,counta,money,totalPerformances,type,theatre
Eclipsed,17,5744145,121,Play,Golden
Elaine Stritch At Liberty,16,5000248,69,Musical,Neil Simon
Electra,18,4629683,116,Play,Ethel Barrymore
Elf,9,10335917,57,Musical,Al Hirschfeld
Elf '12,9,8156846,74,Musical,Al Hirschfeld
Elling,4,686837,9,Play,Ethel Barrymore
Enchanted April,21,3492109,143,Play,Belasco
End Of The Rainbow,22,6856068,160,Play,Belasco
Enron,5,1489074,16,Play,Broadhurst
Epic Proportions,15,1317751,93,Play,Helen Hayes
Equus,23,11962267,156,Play,Broadhurst
Eugene Onegin,1,97542,7,Special,Martin Beck
Everyday Rapture,12,2358299,85,Musical,American Airlines
Evita,46,52678175,337,Musical,Marquis
Exit The King,15,6703380,93,Play,Ethel Barrymore
Faith Healer,17,7583448,117,Play,Booth
Fela!,63,31991438,463,Musical,Eugene O'Neill
Fela! '12,4,1461335,28,Musical,Al Hirschfeld
Fences '10,13,12908907,88,Play,Cort
Festen,9,1853946,49,Play,Music Box
Fiddler On The Roof 04,103,57635884,781,Musical,Minskoff
Fiddler On The Roof 2015,39,34433246,271,Musical,Broadway
Finding Neverland,75,63493938,557,Musical,Lunt-Fontanne
Finian'S Rainbow,15,7888826,92,Musical,St. James
First Date,26,10018641,174,Musical,Longacre
Fish In The Dark,26,27652896,173,Play,Cort
Flower Drum Song,25,11264444,169,Musical,Virginia
Follies,19,7080718,117,Musical,Belasco
Follies '11,25,19566692,152,Musical,Marquis
Fool For Love,13,3721858,75,Play,Friedman
Fool Moon '98,7,1686553,49,Special,Brooks Atkinson
Footloose,91,37134917,709,Musical,Richard Rodgers
Forever Tango '04,15,2477612,114,Musical,Shubert
Forever Tango '13,10,3041368,73,Special,Walter Kerr
Forever Tango '97,58,13872413,458,Special,Walter Kerr
Fortune'S Fool,20,4318899,127,Play,Music Box
Fosse,140,68997054,1093,Musical,Broadhurst
Frankie And Johnny In The Claire De Lune,33,11458493,243,Play,Belasco
Frankie Valli And The Four Seasons On Broadway,2,1404082,7,Special,Broadway
Freak,24,5283095,144,Play,Cort
Frost/Nixon,21,9395227,137,Play,Jacobs
Frozen,17,2252052,128,Play,Circle In The Square
Fully Committed,18,7068657,112,Play,Lyceum
Fun Home,73,39767095,551,Musical,Circle In The Square
Garden District,7,510674,31,Play,Circle In The Square
Gem Of The Ocean,11,2577530,72,Play,Walter Kerr
George Gershwin Alone,14,1055351,96,Play,Helen Hayes
Getting And Spending,8,484281,41,Play,Helen Hayes
Ghetto Klown,20,6179540,95,Play,Lyceum
Ghost,23,13339472,136,Musical,Lunt-Fontanne
Gigi,14,7028015,86,Musical,Neil Simon
Glengarry Glen Ross '05,21,8532405,137,Play,Royale
Glengarry Glen Ross '12,14,14301932,45,Play,Schoenfeld
Glory Days,3,111283,1,Musical,Circle In The Square
God Of Carnage,61,37345584,452,Play,Jacobs
